Analyzer_Comb,Comb_Token,Target,N_All_Fcts,N_Marked_Fcts,Ratio_Marked_Fcts
flawfinder,FLF,libpng,398,22,0.05527638190954774
flawfinder,FLF,libtiff,826,18,0.021791767554479417
flawfinder,FLF,libxml2,2982,68,0.022803487592219986
flawfinder,FLF,poppler,4659,105,0.022537025112685124
flawfinder,FLF,openssl,13036,444,0.03405952746241178
flawfinder,FLF,php,9145,368,0.040240568616730456
flawfinder,FLF,sqlite3,2298,132,0.057441253263707574
flawfinder,FLF,ffmpeg,17788,1048,0.05891612322914324
flawfinder,FLF,binutils,4071,423,0.10390567428150331
cppcheck,CPC,libpng,398,0,0.0
cppcheck,CPC,libtiff,826,0,0.0
cppcheck,CPC,libxml2,2982,13,0.004359490274983233
cppcheck,CPC,poppler,4659,29,0.006224511697789225
cppcheck,CPC,openssl,13036,277,0.021248849340288433
cppcheck,CPC,php,9145,189,0.020667031164570804
cppcheck,CPC,sqlite3,2298,52,0.022628372497824196
cppcheck,CPC,ffmpeg,17788,761,0.04278165055093321
cppcheck,CPC,binutils,4071,77,0.018914271677720463
infer,IFR,libpng,398,18,0.04522613065326633
infer,IFR,libtiff,826,48,0.05811138014527845
infer,IFR,libxml2,2982,49,0.01643192488262911
infer,IFR,poppler,4659,95,0.020390641768619877
infer,IFR,openssl,13036,849,0.06512733967474685
infer,IFR,php,9145,519,0.05675232367413888
infer,IFR,sqlite3,2298,143,0.06222802436901654
infer,IFR,ffmpeg,17788,414,0.02327411738250506
infer,IFR,binutils,4071,250,0.06140997297961189
codeql,CQL,libpng,398,18,0.04522613065326633
codeql,CQL,libtiff,826,31,0.03753026634382567
codeql,CQL,libxml2,2982,932,0.31254191817572097
codeql,CQL,poppler,4659,0,0.0
codeql,CQL,openssl,13036,2065,0.15840748695918994
codeql,CQL,php,9145,3900,0.4264625478403499
codeql,CQL,sqlite3,2298,327,0.1422976501305483
codeql,CQL,ffmpeg,17788,1463,0.08224645828648527
codeql,CQL,binutils,4071,0,0.0
codechecker,CCH,libpng,398,1,0.002512562814070352
codechecker,CCH,libtiff,826,3,0.0036319612590799033
codechecker,CCH,libxml2,2982,36,0.012072434607645875
codechecker,CCH,poppler,4659,46,0.00987336338270015
codechecker,CCH,openssl,13036,264,0.020251610923596196
codechecker,CCH,php,9145,73,0.007982504100601421
codechecker,CCH,sqlite3,2298,20,0.008703220191470844
codechecker,CCH,ffmpeg,17788,218,0.012255453114459186
codechecker,CCH,binutils,4071,65,0.01596659297469909
commsca,CSA,libpng,398,28,0.07035175879396985
commsca,CSA,libtiff,826,59,0.07142857142857142
commsca,CSA,libxml2,2982,535,0.17940979208584842
commsca,CSA,poppler,4659,478,0.10259712384631896
commsca,CSA,openssl,13036,1878,0.1440625958883093
commsca,CSA,php,9145,2435,0.26626571897211593
commsca,CSA,sqlite3,2298,272,0.11836379460400348
commsca,CSA,ffmpeg,17788,1639,0.09214076905779177
commsca,CSA,binutils,4071,1035,0.2542372881355932
flawfinder-cppcheck,FLF-CPC,libpng,398,22,0.05527638190954774
flawfinder-cppcheck,FLF-CPC,libtiff,826,18,0.021791767554479417
flawfinder-cppcheck,FLF-CPC,libxml2,2982,78,0.026156941649899398
flawfinder-cppcheck,FLF-CPC,poppler,4659,131,0.028117621807254776
flawfinder-cppcheck,FLF-CPC,openssl,13036,684,0.05247008284749923
flawfinder-cppcheck,FLF-CPC,php,9145,538,0.058829961727720065
flawfinder-cppcheck,FLF-CPC,sqlite3,2298,176,0.07658833768494343
flawfinder-cppcheck,FLF-CPC,ffmpeg,17788,1697,0.09540139419833596
flawfinder-cppcheck,FLF-CPC,binutils,4071,487,0.11962662736428396
flawfinder-infer,FLF-IFR,libpng,398,40,0.10050251256281408
flawfinder-infer,FLF-IFR,libtiff,826,65,0.07869249394673124
flawfinder-infer,FLF-IFR,libxml2,2982,113,0.03789403085177733
flawfinder-infer,FLF-IFR,poppler,4659,182,0.03906417686198755
flawfinder-infer,FLF-IFR,openssl,13036,1254,0.09619515188708193
flawfinder-infer,FLF-IFR,php,9145,834,0.09119737561509021
flawfinder-infer,FLF-IFR,sqlite3,2298,263,0.1144473455178416
flawfinder-infer,FLF-IFR,ffmpeg,17788,1409,0.07921070384528896
flawfinder-infer,FLF-IFR,binutils,4071,614,0.1508228936379268
flawfinder-codeql,FLF-CQL,libpng,398,35,0.08793969849246232
flawfinder-codeql,FLF-CQL,libtiff,826,44,0.053268765133171914
flawfinder-codeql,FLF-CQL,libxml2,2982,947,0.3175720992622401
flawfinder-codeql,FLF-CQL,poppler,4659,105,0.022537025112685124
flawfinder-codeql,FLF-CQL,openssl,13036,2377,0.18234120895980363
flawfinder-codeql,FLF-CQL,php,9145,4084,0.44658283214871514
flawfinder-codeql,FLF-CQL,sqlite3,2298,417,0.1814621409921671
flawfinder-codeql,FLF-CQL,ffmpeg,17788,2316,0.1302001349224196
flawfinder-codeql,FLF-CQL,binutils,4071,423,0.10390567428150331
flawfinder-codechecker,FLF-CCH,libpng,398,22,0.05527638190954774
flawfinder-codechecker,FLF-CCH,libtiff,826,21,0.025423728813559324
flawfinder-codechecker,FLF-CCH,libxml2,2982,103,0.03454057679409792
flawfinder-codechecker,FLF-CCH,poppler,4659,145,0.031122558488946125
flawfinder-codechecker,FLF-CCH,openssl,13036,698,0.05354403191162933
flawfinder-codechecker,FLF-CCH,php,9145,427,0.04669218151995626
flawfinder-codechecker,FLF-CCH,sqlite3,2298,146,0.06353350739773717
flawfinder-codechecker,FLF-CCH,ffmpeg,17788,1229,0.06909152237463459
flawfinder-codechecker,FLF-CCH,binutils,4071,471,0.1156963890935888
flawfinder-commsca,FLF-CSA,libpng,398,46,0.11557788944723618
flawfinder-commsca,FLF-CSA,libtiff,826,70,0.0847457627118644
flawfinder-commsca,FLF-CSA,libxml2,2982,563,0.18879946344735077
flawfinder-commsca,FLF-CSA,poppler,4659,561,0.12041210560206053
flawfinder-commsca,FLF-CSA,openssl,13036,2085,0.1599416999079472
flawfinder-commsca,FLF-CSA,php,9145,2600,0.28430836522689995
flawfinder-commsca,FLF-CSA,sqlite3,2298,336,0.1462140992167102
flawfinder-commsca,FLF-CSA,ffmpeg,17788,2428,0.13649651450416012
flawfinder-commsca,FLF-CSA,binutils,4071,1172,0.28788995332842054
cppcheck-infer,CPC-IFR,libpng,398,18,0.04522613065326633
cppcheck-infer,CPC-IFR,libtiff,826,48,0.05811138014527845
cppcheck-infer,CPC-IFR,libxml2,2982,62,0.02079141515761234
cppcheck-infer,CPC-IFR,poppler,4659,118,0.02532732345996995
cppcheck-infer,CPC-IFR,openssl,13036,1115,0.08553237189321877
cppcheck-infer,CPC-IFR,php,9145,691,0.07556041552761071
cppcheck-infer,CPC-IFR,sqlite3,2298,186,0.08093994778067885
cppcheck-infer,CPC-IFR,ffmpeg,17788,1140,0.06408814931414436
cppcheck-infer,CPC-IFR,binutils,4071,321,0.07885040530582167
cppcheck-codeql,CPC-CQL,libpng,398,18,0.04522613065326633
cppcheck-codeql,CPC-CQL,libtiff,826,31,0.03753026634382567
cppcheck-codeql,CPC-CQL,libxml2,2982,937,0.3142186452045607
cppcheck-codeql,CPC-CQL,poppler,4659,29,0.006224511697789225
cppcheck-codeql,CPC-CQL,openssl,13036,2276,0.17459343356857931
cppcheck-codeql,CPC-CQL,php,9145,4026,0.44024056861673044
cppcheck-codeql,CPC-CQL,sqlite3,2298,360,0.1566579634464752
cppcheck-codeql,CPC-CQL,ffmpeg,17788,2081,0.11698898133573195
cppcheck-codeql,CPC-CQL,binutils,4071,77,0.018914271677720463
cppcheck-codechecker,CPC-CCH,libpng,398,1,0.002512562814070352
cppcheck-codechecker,CPC-CCH,libtiff,826,3,0.0036319612590799033
cppcheck-codechecker,CPC-CCH,libxml2,2982,48,0.01609657947686117
cppcheck-codechecker,CPC-CCH,poppler,4659,74,0.01588323674608285
cppcheck-codechecker,CPC-CCH,openssl,13036,536,0.04111690702669531
cppcheck-codechecker,CPC-CCH,php,9145,257,0.02810278840896665
cppcheck-codechecker,CPC-CCH,sqlite3,2298,70,0.030461270670147953
cppcheck-codechecker,CPC-CCH,ffmpeg,17788,959,0.053912750168653024
cppcheck-codechecker,CPC-CCH,binutils,4071,138,0.03389830508474576
cppcheck-commsca,CPC-CSA,libpng,398,28,0.07035175879396985
cppcheck-commsca,CPC-CSA,libtiff,826,59,0.07142857142857142
cppcheck-commsca,CPC-CSA,libxml2,2982,542,0.18175720992622402
cppcheck-commsca,CPC-CSA,poppler,4659,507,0.10882163554410818
cppcheck-commsca,CPC-CSA,openssl,13036,2054,0.15756366983737344
cppcheck-commsca,CPC-CSA,php,9145,2558,0.2797156916347731
cppcheck-commsca,CPC-CSA,sqlite3,2298,306,0.13315926892950392
cppcheck-commsca,CPC-CSA,ffmpeg,17788,2201,0.1237351023161682
cppcheck-commsca,CPC-CSA,binutils,4071,1089,0.2675018422991894
infer-codeql,IFR-CQL,libpng,398,36,0.09045226130653267
infer-codeql,IFR-CQL,libtiff,826,77,0.09322033898305085
infer-codeql,IFR-CQL,libxml2,2982,953,0.3195841716968478
infer-codeql,IFR-CQL,poppler,4659,95,0.020390641768619877
infer-codeql,IFR-CQL,openssl,13036,2596,0.19914084074869592
infer-codeql,IFR-CQL,php,9145,4068,0.4448332422088573
infer-codeql,IFR-CQL,sqlite3,2298,418,0.18189730200174065
infer-codeql,IFR-CQL,ffmpeg,17788,1781,0.10012367888464133
infer-codeql,IFR-CQL,binutils,4071,250,0.06140997297961189
infer-codechecker,IFR-CCH,libpng,398,19,0.04773869346733668
infer-codechecker,IFR-CCH,libtiff,826,50,0.06053268765133172
infer-codechecker,IFR-CCH,libxml2,2982,83,0.027833668678739102
infer-codechecker,IFR-CCH,poppler,4659,134,0.02876153681047435
infer-codechecker,IFR-CCH,openssl,13036,1102,0.08453513347652654
infer-codechecker,IFR-CCH,php,9145,562,0.06145434663750683
infer-codechecker,IFR-CCH,sqlite3,2298,160,0.06962576153176675
infer-codechecker,IFR-CCH,ffmpeg,17788,605,0.03401169327636609
infer-codechecker,IFR-CCH,binutils,4071,303,0.07442888725128961
infer-commsca,IFR-CSA,libpng,398,45,0.11306532663316583
infer-commsca,IFR-CSA,libtiff,826,99,0.1198547215496368
infer-commsca,IFR-CSA,libxml2,2982,564,0.1891348088531187
infer-commsca,IFR-CSA,poppler,4659,543,0.11654861558274308
infer-commsca,IFR-CSA,openssl,13036,2508,0.19239030377416386
infer-commsca,IFR-CSA,php,9145,2646,0.28933843630399125
infer-commsca,IFR-CSA,sqlite3,2298,383,0.16666666666666666
infer-commsca,IFR-CSA,ffmpeg,17788,1945,0.1093433775579042
infer-commsca,IFR-CSA,binutils,4071,1150,0.2824858757062147
codeql-codechecker,CQL-CCH,libpng,398,19,0.04773869346733668
codeql-codechecker,CQL-CCH,libtiff,826,34,0.04116222760290557
codeql-codechecker,CQL-CCH,libxml2,2982,950,0.31857813547954394
codeql-codechecker,CQL-CCH,poppler,4659,46,0.00987336338270015
codeql-codechecker,CQL-CCH,openssl,13036,2260,0.17336606320957348
codeql-codechecker,CQL-CCH,php,9145,3918,0.42843083652269
codeql-codechecker,CQL-CCH,sqlite3,2298,332,0.144473455178416
codeql-codechecker,CQL-CCH,ffmpeg,17788,1611,0.09056667416235664
codeql-codechecker,CQL-CCH,binutils,4071,65,0.01596659297469909
codeql-commsca,CQL-CSA,libpng,398,41,0.10301507537688442
codeql-commsca,CQL-CSA,libtiff,826,75,0.09079903147699758
codeql-commsca,CQL-CSA,libxml2,2982,1120,0.3755868544600939
codeql-commsca,CQL-CSA,poppler,4659,478,0.10259712384631896
codeql-commsca,CQL-CSA,openssl,13036,3279,0.2515342129487573
codeql-commsca,CQL-CSA,php,9145,4525,0.49480590486604703
codeql-commsca,CQL-CSA,sqlite3,2298,490,0.21322889469103568
codeql-commsca,CQL-CSA,ffmpeg,17788,2695,0.15150663368563078
codeql-commsca,CQL-CSA,binutils,4071,1035,0.2542372881355932
codechecker-commsca,CCH-CSA,libpng,398,29,0.0728643216080402
codechecker-commsca,CCH-CSA,libtiff,826,60,0.07263922518159806
codechecker-commsca,CCH-CSA,libxml2,2982,558,0.18712273641851107
codechecker-commsca,CCH-CSA,poppler,4659,512,0.1098948272161408
codechecker-commsca,CCH-CSA,openssl,13036,2083,0.1597882786130715
codechecker-commsca,CCH-CSA,php,9145,2452,0.26812465828321486
codechecker-commsca,CCH-CSA,sqlite3,2298,278,0.12097476066144473
codechecker-commsca,CCH-CSA,ffmpeg,17788,1783,0.10023611423431526
codechecker-commsca,CCH-CSA,binutils,4071,1060,0.2603782854335544
flawfinder-cppcheck-infer,FLF-CPC-IFR,libpng,398,40,0.10050251256281408
flawfinder-cppcheck-infer,FLF-CPC-IFR,libtiff,826,65,0.07869249394673124
flawfinder-cppcheck-infer,FLF-CPC-IFR,libxml2,2982,123,0.04124748490945674
flawfinder-cppcheck-infer,FLF-CPC-IFR,poppler,4659,204,0.0437862202189311
flawfinder-cppcheck-infer,FLF-CPC-IFR,openssl,13036,1486,0.11399202209266646
flawfinder-cppcheck-infer,FLF-CPC-IFR,php,9145,994,0.10869327501366867
flawfinder-cppcheck-infer,FLF-CPC-IFR,sqlite3,2298,299,0.13011314186248912
flawfinder-cppcheck-infer,FLF-CPC-IFR,ffmpeg,17788,2030,0.11412187991904654
flawfinder-cppcheck-infer,FLF-CPC-IFR,binutils,4071,674,0.16556128715303364
flawfinder-cppcheck-codeql,FLF-CPC-CQL,libpng,398,35,0.08793969849246232
flawfinder-cppcheck-codeql,FLF-CPC-CQL,libtiff,826,44,0.053268765133171914
flawfinder-cppcheck-codeql,FLF-CPC-CQL,libxml2,2982,952,0.3192488262910798
flawfinder-cppcheck-codeql,FLF-CPC-CQL,poppler,4659,131,0.028117621807254776
flawfinder-cppcheck-codeql,FLF-CPC-CQL,openssl,13036,2567,0.19691623197299785
flawfinder-cppcheck-codeql,FLF-CPC-CQL,php,9145,4206,0.45992345544013125
flawfinder-cppcheck-codeql,FLF-CPC-CQL,sqlite3,2298,446,0.19408181026979981
flawfinder-cppcheck-codeql,FLF-CPC-CQL,ffmpeg,17788,2849,0.16016415561052394
flawfinder-cppcheck-codeql,FLF-CPC-CQL,binutils,4071,487,0.11962662736428396
flawfinder-cppcheck-codechecker,FLF-CPC-CCH,libpng,398,22,0.05527638190954774
flawfinder-cppcheck-codechecker,FLF-CPC-CCH,libtiff,826,21,0.025423728813559324
flawfinder-cppcheck-codechecker,FLF-CPC-CCH,libxml2,2982,113,0.03789403085177733
flawfinder-cppcheck-codechecker,FLF-CPC-CCH,poppler,4659,170,0.036488516849109254
flawfinder-cppcheck-codechecker,FLF-CPC-CCH,openssl,13036,935,0.0717244553544032
flawfinder-cppcheck-codechecker,FLF-CPC-CCH,php,9145,594,0.06495352651722253
flawfinder-cppcheck-codechecker,FLF-CPC-CCH,sqlite3,2298,189,0.08224543080939947
flawfinder-cppcheck-codechecker,FLF-CPC-CCH,ffmpeg,17788,1866,0.10490218124578367
flawfinder-cppcheck-codechecker,FLF-CPC-CCH,binutils,4071,532,0.1306804225006141
flawfinder-cppcheck-commsca,FLF-CPC-CSA,libpng,398,46,0.11557788944723618
flawfinder-cppcheck-commsca,FLF-CPC-CSA,libtiff,826,70,0.0847457627118644
flawfinder-cppcheck-commsca,FLF-CPC-CSA,libxml2,2982,570,0.19114688128772636
flawfinder-cppcheck-commsca,FLF-CPC-CSA,poppler,4659,587,0.12599270229663018
flawfinder-cppcheck-commsca,FLF-CPC-CSA,openssl,13036,2250,0.17259895673519485
flawfinder-cppcheck-commsca,FLF-CPC-CSA,php,9145,2720,0.2974302897758338
flawfinder-cppcheck-commsca,FLF-CPC-CSA,sqlite3,2298,369,0.16057441253263707
flawfinder-cppcheck-commsca,FLF-CPC-CSA,ffmpeg,17788,2924,0.1643804812232966
flawfinder-cppcheck-commsca,FLF-CPC-CSA,binutils,4071,1220,0.29968066814050603
flawfinder-infer-codeql,FLF-IFR-CQL,libpng,398,53,0.13316582914572864
flawfinder-infer-codeql,FLF-IFR-CQL,libtiff,826,90,0.1089588377723971
flawfinder-infer-codeql,FLF-IFR-CQL,libxml2,2982,966,0.323943661971831
flawfinder-infer-codeql,FLF-IFR-CQL,poppler,4659,182,0.03906417686198755
flawfinder-infer-codeql,FLF-IFR-CQL,openssl,13036,2881,0.22100337526848726
flawfinder-infer-codeql,FLF-IFR-CQL,php,9145,4233,0.46287588846364136
flawfinder-infer-codeql,FLF-IFR-CQL,sqlite3,2298,503,0.21888598781549173
flawfinder-infer-codeql,FLF-IFR-CQL,ffmpeg,17788,2600,0.14616595457611872
flawfinder-infer-codeql,FLF-IFR-CQL,binutils,4071,614,0.1508228936379268
flawfinder-infer-codechecker,FLF-IFR-CCH,libpng,398,40,0.10050251256281408
flawfinder-infer-codechecker,FLF-IFR-CCH,libtiff,826,67,0.0811138014527845
flawfinder-infer-codechecker,FLF-IFR-CCH,libxml2,2982,146,0.04896042924211938
flawfinder-infer-codechecker,FLF-IFR-CCH,poppler,4659,218,0.04679115690062245
flawfinder-infer-codechecker,FLF-IFR-CCH,openssl,13036,1498,0.11491254986192083
flawfinder-infer-codechecker,FLF-IFR-CCH,php,9145,867,0.09480590486604702
flawfinder-infer-codechecker,FLF-IFR-CCH,sqlite3,2298,276,0.12010443864229765
flawfinder-infer-codechecker,FLF-IFR-CCH,ffmpeg,17788,1571,0.0883179671688779
flawfinder-infer-codechecker,FLF-IFR-CCH,binutils,4071,653,0.16040284942274624
flawfinder-infer-commsca,FLF-IFR-CSA,libpng,398,63,0.15829145728643215
flawfinder-infer-commsca,FLF-IFR-CSA,libtiff,826,110,0.13317191283292978
flawfinder-infer-commsca,FLF-IFR-CSA,libxml2,2982,590,0.19785378940308518
flawfinder-infer-commsca,FLF-IFR-CSA,poppler,4659,613,0.13157329899119982
flawfinder-infer-commsca,FLF-IFR-CSA,openssl,13036,2707,0.20765572261429888
flawfinder-infer-commsca,FLF-IFR-CSA,php,9145,2794,0.30552214324767635
flawfinder-infer-commsca,FLF-IFR-CSA,sqlite3,2298,443,0.1927763272410792
flawfinder-infer-commsca,FLF-IFR-CSA,ffmpeg,17788,2704,0.15201259275916348
flawfinder-infer-commsca,FLF-IFR-CSA,binutils,4071,1278,0.313927781871776
flawfinder-codeql-codechecker,FLF-CQL-CCH,libpng,398,35,0.08793969849246232
flawfinder-codeql-codechecker,FLF-CQL-CCH,libtiff,826,47,0.05690072639225181
flawfinder-codeql-codechecker,FLF-CQL-CCH,libxml2,2982,965,0.32360831656606304
flawfinder-codeql-codechecker,FLF-CQL-CCH,poppler,4659,145,0.031122558488946125
flawfinder-codeql-codechecker,FLF-CQL-CCH,openssl,13036,2566,0.19683952132555999
flawfinder-codeql-codechecker,FLF-CQL-CCH,php,9145,4098,0.4481137233460908
flawfinder-codeql-codechecker,FLF-CQL-CCH,sqlite3,2298,421,0.18320278503046128
flawfinder-codeql-codechecker,FLF-CQL-CCH,ffmpeg,17788,2436,0.13694625590285586
flawfinder-codeql-codechecker,FLF-CQL-CCH,binutils,4071,471,0.1156963890935888
flawfinder-codeql-commsca,FLF-CQL-CSA,libpng,398,57,0.14321608040201006
flawfinder-codeql-commsca,FLF-CQL-CSA,libtiff,826,84,0.1016949152542373
flawfinder-codeql-commsca,FLF-CQL-CSA,libxml2,2982,1131,0.37927565392354123
flawfinder-codeql-commsca,FLF-CQL-CSA,poppler,4659,561,0.12041210560206053
flawfinder-codeql-commsca,FLF-CQL-CSA,openssl,13036,3455,0.2650352868978214
flawfinder-codeql-commsca,FLF-CQL-CSA,php,9145,4645,0.5079278294149808
flawfinder-codeql-commsca,FLF-CQL-CSA,sqlite3,2298,541,0.23542210617928633
flawfinder-codeql-commsca,FLF-CQL-CSA,ffmpeg,17788,3384,0.19024061164830222
flawfinder-codeql-commsca,FLF-CQL-CSA,binutils,4071,1172,0.28788995332842054
flawfinder-codechecker-commsca,FLF-CCH-CSA,libpng,398,46,0.11557788944723618
flawfinder-codechecker-commsca,FLF-CCH-CSA,libtiff,826,71,0.08595641646489104
flawfinder-codechecker-commsca,FLF-CCH-CSA,libxml2,2982,586,0.19651240778001342
flawfinder-codechecker-commsca,FLF-CCH-CSA,poppler,4659,590,0.12663661729984976
flawfinder-codechecker-commsca,FLF-CCH-CSA,openssl,13036,2286,0.17536054004295795
flawfinder-codechecker-commsca,FLF-CCH-CSA,php,9145,2614,0.28583925642427555
flawfinder-codechecker-commsca,FLF-CCH-CSA,sqlite3,2298,342,0.14882506527415143
flawfinder-codechecker-commsca,FLF-CCH-CSA,ffmpeg,17788,2545,0.14307398246008546
flawfinder-codechecker-commsca,FLF-CCH-CSA,binutils,4071,1192,0.2928027511667895
cppcheck-infer-codeql,CPC-IFR-CQL,libpng,398,36,0.09045226130653267
cppcheck-infer-codeql,CPC-IFR-CQL,libtiff,826,77,0.09322033898305085
cppcheck-infer-codeql,CPC-IFR-CQL,libxml2,2982,958,0.32126089872568747
cppcheck-infer-codeql,CPC-IFR-CQL,poppler,4659,118,0.02532732345996995
cppcheck-infer-codeql,CPC-IFR-CQL,openssl,13036,2801,0.2148665234734581
cppcheck-infer-codeql,CPC-IFR-CQL,php,9145,4190,0.4581738655002734
cppcheck-infer-codeql,CPC-IFR-CQL,sqlite3,2298,448,0.19495213228894692
cppcheck-infer-codeql,CPC-IFR-CQL,ffmpeg,17788,2378,0.13368563076231166
cppcheck-infer-codeql,CPC-IFR-CQL,binutils,4071,321,0.07885040530582167
cppcheck-infer-codechecker,CPC-IFR-CCH,libpng,398,19,0.04773869346733668
cppcheck-infer-codechecker,CPC-IFR-CCH,libtiff,826,50,0.06053268765133172
cppcheck-infer-codechecker,CPC-IFR-CCH,libxml2,2982,95,0.031857813547954396
cppcheck-infer-codechecker,CPC-IFR-CCH,poppler,4659,156,0.0334835801674179
cppcheck-infer-codechecker,CPC-IFR-CCH,openssl,13036,1363,0.10455661245780914
cppcheck-infer-codechecker,CPC-IFR-CCH,php,9145,732,0.08004373974849645
cppcheck-infer-codechecker,CPC-IFR-CCH,sqlite3,2298,201,0.08746736292428199
cppcheck-infer-codechecker,CPC-IFR-CCH,ffmpeg,17788,1313,0.07381380706093996
cppcheck-infer-codechecker,CPC-IFR-CCH,binutils,4071,370,0.0908867600098256
cppcheck-infer-commsca,CPC-IFR-CSA,libpng,398,45,0.11306532663316583
cppcheck-infer-commsca,CPC-IFR-CSA,libtiff,826,99,0.1198547215496368
cppcheck-infer-commsca,CPC-IFR-CSA,libxml2,2982,571,0.1914822266934943
cppcheck-infer-commsca,CPC-IFR-CSA,poppler,4659,566,0.12148529727409316
cppcheck-infer-commsca,CPC-IFR-CSA,openssl,13036,2682,0.20573795642835224
cppcheck-infer-commsca,CPC-IFR-CSA,php,9145,2763,0.30213231273920177
cppcheck-infer-commsca,CPC-IFR-CSA,sqlite3,2298,412,0.17928633594429938
cppcheck-infer-commsca,CPC-IFR-CSA,ffmpeg,17788,2489,0.1399257926692152
cppcheck-infer-commsca,CPC-IFR-CSA,binutils,4071,1202,0.295259150085974
cppcheck-codeql-codechecker,CPC-CQL-CCH,libpng,398,19,0.04773869346733668
cppcheck-codeql-codechecker,CPC-CQL-CCH,libtiff,826,34,0.04116222760290557
cppcheck-codeql-codechecker,CPC-CQL-CCH,libxml2,2982,955,0.32025486250838364
cppcheck-codeql-codechecker,CPC-CQL-CCH,poppler,4659,74,0.01588323674608285
cppcheck-codeql-codechecker,CPC-CQL-CCH,openssl,13036,2468,0.18932187787664928
cppcheck-codeql-codechecker,CPC-CQL-CCH,php,9145,4044,0.44220885729907056
cppcheck-codeql-codechecker,CPC-CQL-CCH,sqlite3,2298,364,0.15839860748476936
cppcheck-codeql-codechecker,CPC-CQL-CCH,ffmpeg,17788,2218,0.12469080278839667
cppcheck-codeql-codechecker,CPC-CQL-CCH,binutils,4071,138,0.03389830508474576
cppcheck-codeql-commsca,CPC-CQL-CSA,libpng,398,41,0.10301507537688442
cppcheck-codeql-commsca,CPC-CQL-CSA,libtiff,826,75,0.09079903147699758
cppcheck-codeql-commsca,CPC-CQL-CSA,libxml2,2982,1125,0.3772635814889336
cppcheck-codeql-commsca,CPC-CQL-CSA,poppler,4659,507,0.10882163554410818
cppcheck-codeql-commsca,CPC-CQL-CSA,openssl,13036,3425,0.26273396747468547
cppcheck-codeql-commsca,CPC-CQL-CSA,php,9145,4623,0.5055221432476763
cppcheck-codeql-commsca,CPC-CQL-CSA,sqlite3,2298,516,0.2245430809399478
cppcheck-codeql-commsca,CPC-CQL-CSA,ffmpeg,17788,3173,0.17837868225770181
cppcheck-codeql-commsca,CPC-CQL-CSA,binutils,4071,1089,0.2675018422991894
cppcheck-codechecker-commsca,CPC-CCH-CSA,libpng,398,29,0.0728643216080402
cppcheck-codechecker-commsca,CPC-CCH-CSA,libtiff,826,60,0.07263922518159806
